+----------新的日志片段----------+
日志系统已上线，欢迎使用MulNX

[2026-06-30 03:17:29.1039810][成功][TimeController] 初始化成功！    (Module.hpp:25)
[2026-06-30 03:17:29.1040190][成功][HookView] 同步消息订阅：Hook/LoadLibraryExW/client.dll    (MsgMixin.hpp:47)
[2026-06-30 03:17:29.1040210][成功][HookView] 初始化成功！    (Module.hpp:25)
[2026-06-30 03:17:29.1040590][提示][PlayerHub] 将UI节点注册信息推送到了消息系统    (UIMixin.hpp:28)
[2026-06-30 03:17:29.1040610][成功][PlayerHub] 初始化成功！    (Module.hpp:25)
[2026-06-30 03:17:29.1041000][提示][FreeCameraController] 将UI节点注册信息推送到了消息系统    (UIMixin.hpp:28)
[2026-06-30 03:17:29.1041260][成功][FreeCameraController] 异步消息订阅：FreeCamCtrl/Toggle    (MsgMixin.hpp:25)
[2026-06-30 03:17:29.1041390][提示][HookConsole] 请求了指令创建: mulnx_freeCamCtrl_toggle    (HookConsole.cpp:22)
[2026-06-30 03:17:29.1041530][成功][FreeCameraController] 初始化成功！    (Module.hpp:25)
[2026-06-30 03:17:29.1042190][提示][AdvancedViewController] 将UI节点注册信息推送到了消息系统    (UIMixin.hpp:28)
[2026-06-30 03:17:29.1042210][成功][AdvancedViewController] 初始化成功！    (Module.hpp:25)
[2026-06-30 03:17:29.1042620][成功][ObserverController] 异步消息订阅：CameraSystem/Play/Started    (MsgMixin.hpp:25)
[2026-06-30 03:17:29.1042670][成功][ObserverController] 异步消息订阅：CameraSystem/Play/Ended    (MsgMixin.hpp:25)
[2026-06-30 03:17:29.1042720][成功][ObserverController] 异步消息订阅：Observe/SpecSteam64UID    (MsgMixin.hpp:25)
[2026-06-30 03:17:29.1042770][成功][ObserverController] 异步消息订阅：Observe/SpecHandle    (MsgMixin.hpp:25)
[2026-06-30 03:17:29.1042820][成功][ObserverController] 异步消息订阅：spec_mode_changed_to    (MsgMixin.hpp:25)
[2026-06-30 03:17:29.1042910][提示][ObserverController] 消息推送：将任务 ObserverController::Main 注册到工作者 CSControl    (TaskMixin.hpp:23)
[2026-06-30 03:17:29.1042960][成功][ObserverController] 初始化成功！    (Module.hpp:25)
[2026-06-30 03:17:29.1043630][提示][PlayerFlashController] 将UI节点注册信息推送到了消息系统    (UIMixin.hpp:28)
[2026-06-30 03:17:29.1043660][成功][PlayerFlashController] 初始化成功！    (Module.hpp:25)
[2026-06-30 03:17:29.1044110][成功][DeathMsgController] 同步消息订阅：Hook/LoadLibraryExW/client.dll    (MsgMixin.hpp:47)
[2026-06-30 03:17:29.1044140][成功][DeathMsgController] 初始化成功！    (Module.hpp:25)
[2026-06-30 03:17:29.1044520][成功][SkyController] 同步消息订阅：Hook/LoadLibraryExW/client.dll    (MsgMixin.hpp:47)
[2026-06-30 03:17:29.1044570][成功][SkyController] 异步消息订阅：Sky/Color/Set    (MsgMixin.hpp:25)
[2026-06-30 03:17:29.1044610][成功][SkyController] 异步消息订阅：Sky/Brightness/Set    (MsgMixin.hpp:25)
[2026-06-30 03:17:29.1044650][提示][SkyController] 将UI节点注册信息推送到了消息系统    (UIMixin.hpp:28)
[2026-06-30 03:17:29.1044710][提示][SkyController] 消息推送：将任务 SkyController::Update 注册到工作者 CSControl    (TaskMixin.hpp:23)
[2026-06-30 03:17:29.1044740][成功][SkyController] 初始化成功！    (Module.hpp:25)
[2026-06-30 03:17:29.1045100][提示][ESPBox] 将UI节点注册信息推送到了消息系统    (UIMixin.hpp:35)
[2026-06-30 03:17:29.1045120][成功][ESPBox] 初始化成功！    (Module.hpp:25)
[2026-06-30 03:17:29.1055610][提示][ESPSkeleton] 将UI节点注册信息推送到了消息系统    (UIMixin.hpp:35)
[2026-06-30 03:17:29.1055640][提示][ESPSkeleton] 将UI节点注册信息推送到了消息系统    (UIMixin.hpp:28)
[2026-06-30 03:17:29.1055940][成功][ESPSkeleton] 初始化成功！    (Module.hpp:25)
[2026-06-30 03:17:29.1056570][成功][SkinController] 同步消息订阅：Hook/OnSetupView    (MsgMixin.hpp:47)
[2026-06-30 03:17:29.1056640][成功][SkinController] 异步消息订阅：Skin/Apply    (MsgMixin.hpp:25)
[2026-06-30 03:17:29.1056710][成功][SkinController] 同步消息订阅：Hook/LoadLibraryExW/client.dll    (MsgMixin.hpp:47)
[2026-06-30 03:17:29.1056730][成功][SkinController] 初始化成功！    (Module.hpp:25)
[2026-06-30 03:17:29.1057110][提示][EntityListScanner] 将UI节点注册信息推送到了消息系统    (UIMixin.hpp:28)
[2026-06-30 03:17:29.1057140][成功][EntityListScanner] 初始化成功！    (Module.hpp:25)
[2026-06-30 03:17:29.1057560][成功][FlashRenderController] 同步消息订阅：Hook/Source2Client002::Inited    (MsgMixin.hpp:47)
[2026-06-30 03:17:29.1057590][提示][FlashRenderController] 将UI节点注册信息推送到了消息系统    (UIMixin.hpp:28)
[2026-06-30 03:17:29.1057610][成功][FlashRenderController] 初始化成功！    (Module.hpp:25)
[2026-06-30 03:17:29.1058240][提示][ProjectileTracker] 消息推送：将任务 ProjectileTracker::Main 注册到工作者 CSControl    (TaskMixin.hpp:23)
[2026-06-30 03:17:29.1058320][成功][ProjectileTracker] 同步消息订阅：Hook/AddEntity    (MsgMixin.hpp:47)
[2026-06-30 03:17:29.1058370][成功][ProjectileTracker] 同步消息订阅：Hook/RemoveEntity    (MsgMixin.hpp:47)
[2026-06-30 03:17:29.1058430][提示][ProjectileTracker] 将UI节点注册信息推送到了消息系统    (UIMixin.hpp:28)
[2026-06-30 03:17:29.1058460][成功][ProjectileTracker] 初始化成功！    (Module.hpp:25)
[2026-06-30 03:17:29.1058920][成功][TrailsController] 同步消息订阅：Hook/LoadLibraryExW/client.dll    (MsgMixin.hpp:47)
[2026-06-30 03:17:29.1058980][成功][TrailsController] 异步消息订阅：Trails/Player/Set    (MsgMixin.hpp:25)
[2026-06-30 03:17:29.1059020][成功][TrailsController] 异步消息订阅：Trails/Player/Clear    (MsgMixin.hpp:25)
[2026-06-30 03:17:29.1059070][成功][TrailsController] 异步消息订阅：Trails/Player/ClearAll    (MsgMixin.hpp:25)
[2026-06-30 03:17:29.1059110][成功][TrailsController] 异步消息订阅：Trails/Team/Set    (MsgMixin.hpp:25)
[2026-06-30 03:17:29.1059150][成功][TrailsController] 异步消息订阅：Trails/Team/Clear    (MsgMixin.hpp:25)
[2026-06-30 03:17:29.1059190][成功][TrailsController] 异步消息订阅：Trails/Team/ClearAll    (MsgMixin.hpp:25)
[2026-06-30 03:17:29.1059230][成功][TrailsController] 异步消息订阅：Trails/ClearAll    (MsgMixin.hpp:25)
[2026-06-30 03:17:29.1059270][成功][TrailsController] 异步消息订阅：Trails/Prop    (MsgMixin.hpp:25)
[2026-06-30 03:17:29.1059350][提示][TrailsController] 消息推送：将任务 TrailsController::Update 注册到工作者 CSControl    (TaskMixin.hpp:23)
[2026-06-30 03:17:29.1059390][成功][TrailsController] 初始化成功！    (Module.hpp:25)
[2026-06-30 03:17:29.1059820][成功][NameController] 异步消息订阅：Name/Player/Set    (MsgMixin.hpp:25)
[2026-06-30 03:17:29.1059900][成功][NameController] 同步消息订阅：Hook/LoadLibraryExW/client.dll    (MsgMixin.hpp:47)
[2026-06-30 03:17:29.1059940][成功][NameController] 初始化成功！    (Module.hpp:25)
[2026-06-30 03:17:29.1060360][成功][GlowController] 同步消息订阅：Hook/LoadLibraryExW/client.dll    (MsgMixin.hpp:47)
[2026-06-30 03:17:29.1060420][提示][GlowController] 消息推送：将任务 GlowController::Update 注册到工作者 CSControl    (TaskMixin.hpp:23)
[2026-06-30 03:17:29.1060480][成功][GlowController] 异步消息订阅：Glow/Enable    (MsgMixin.hpp:32)
[2026-06-30 03:17:29.1060540][成功][GlowController] 异步消息订阅：Glow/Disable    (MsgMixin.hpp:32)
[2026-06-30 03:17:29.1060600][成功][GlowController] 异步消息订阅：Glow/Player/Set    (MsgMixin.hpp:32)
[2026-06-30 03:17:29.1060650][成功][GlowController] 异步消息订阅：Glow/Player/Clear    (MsgMixin.hpp:32)
[2026-06-30 03:17:29.1060690][成功][GlowController] 异步消息订阅：Glow/Player/ClearAll    (MsgMixin.hpp:32)
[2026-06-30 03:17:29.1060730][成功][GlowController] 异步消息订阅：Glow/Team/Set    (MsgMixin.hpp:32)
[2026-06-30 03:17:29.1060780][成功][GlowController] 异步消息订阅：Glow/Team/Clear    (MsgMixin.hpp:32)
[2026-06-30 03:17:29.1060820][成功][GlowController] 异步消息订阅：Glow/Team/ClearAll    (MsgMixin.hpp:32)
[2026-06-30 03:17:29.1060860][成功][GlowController] 异步消息订阅：Glow/ClearAll    (MsgMixin.hpp:32)
[2026-06-30 03:17:29.1060890][成功][GlowController] 初始化成功！    (Module.hpp:25)
[2026-06-30 03:17:29.1061430][成功][SmokeController] 同步消息订阅：Hook/LoadLibraryExW/client.dll    (MsgMixin.hpp:47)
[2026-06-30 03:17:29.1061480][成功][SmokeController] 异步消息订阅：Smoke/Player/Set    (MsgMixin.hpp:25)
[2026-06-30 03:17:29.1061520][成功][SmokeController] 异步消息订阅：Smoke/Player/Clear    (MsgMixin.hpp:25)
[2026-06-30 03:17:29.1061560][成功][SmokeController] 异步消息订阅：Smoke/Player/ClearAll    (MsgMixin.hpp:25)
[2026-06-30 03:17:29.1061600][成功][SmokeController] 异步消息订阅：Smoke/Team/Set    (MsgMixin.hpp:25)
[2026-06-30 03:17:29.1061650][成功][SmokeController] 异步消息订阅：Smoke/Team/Clear    (MsgMixin.hpp:25)
[2026-06-30 03:17:29.1061690][成功][SmokeController] 异步消息订阅：Smoke/Team/ClearAll    (MsgMixin.hpp:25)
[2026-06-30 03:17:29.1061730][成功][SmokeController] 异步消息订阅：Smoke/ClearAll    (MsgMixin.hpp:25)
[2026-06-30 03:17:29.1061750][成功][SmokeController] 初始化成功！    (Module.hpp:25)
[2026-06-30 03:17:29.1062300][成功][SpeakingController] 同步消息订阅：Hook/Source2Client002::Inited    (MsgMixin.hpp:47)
[2026-06-30 03:17:29.1062340][提示][SpeakingController] 将UI节点注册信息推送到了消息系统    (UIMixin.hpp:28)
[2026-06-30 03:17:29.1062370][成功][SpeakingController] 初始化成功！    (Module.hpp:25)
[2026-06-30 03:17:29.1062740][成功][KeyboardOverlay] 初始化成功！    (Module.hpp:25)
[2026-06-30 03:17:29.1063170][成功][TeamIDController] 同步消息订阅：Hook/LoadLibraryExW/client.dll    (MsgMixin.hpp:47)
[2026-06-30 03:17:29.1063230][成功][TeamIDController] 同步消息订阅：Hook/LoadLibraryExW/panorama.dll    (MsgMixin.hpp:47)
[2026-06-30 03:17:29.1063290][成功][TeamIDController] 同步消息订阅：Debug/TeamID    (MsgMixin.hpp:47)
[2026-06-30 03:17:29.1063320][提示][TeamIDController] 将UI节点注册信息推送到了消息系统    (UIMixin.hpp:28)
[2026-06-30 03:17:29.1063340][成功][TeamIDController] 初始化成功！    (Module.hpp:25)
[2026-06-30 03:17:29.1063720][成功][PlayerSpotRenderController] 同步消息订阅：Hook/LoadLibraryExW/client.dll    (MsgMixin.hpp:47)
[2026-06-30 03:17:29.1063750][提示][PlayerSpotRenderController] 将UI节点注册信息推送到了消息系统    (UIMixin.hpp:28)
[2026-06-30 03:17:29.1063770][成功][PlayerSpotRenderController] 初始化成功！    (Module.hpp:25)
[2026-06-30 03:17:29.1064230][成功][PlayerSpotColorController] 同步消息订阅：Hook/LoadLibraryExW/client.dll    (MsgMixin.hpp:47)
[2026-06-30 03:17:29.1064260][提示][PlayerSpotColorController] 将UI节点注册信息推送到了消息系统    (UIMixin.hpp:28)
[2026-06-30 03:17:29.1064280][成功][PlayerSpotColorController] 初始化成功！    (Module.hpp:25)
[2026-06-30 03:17:29.1064630][成功][BombSpotController] 同步消息订阅：Hook/LoadLibraryExW/client.dll    (MsgMixin.hpp:47)
[2026-06-30 03:17:29.1064660][提示][BombSpotController] 将UI节点注册信息推送到了消息系统    (UIMixin.hpp:28)
[2026-06-30 03:17:29.1064680][成功][BombSpotController] 初始化成功！    (Module.hpp:25)
[2026-06-30 03:17:29.1065010][成功][TeamCounterController] 同步消息订阅：Hook/LoadLibraryExW/client.dll    (MsgMixin.hpp:47)
[2026-06-30 03:17:29.1065040][提示][TeamCounterController] 将UI节点注册信息推送到了消息系统    (UIMixin.hpp:28)
[2026-06-30 03:17:29.1065060][成功][TeamCounterController] 初始化成功！    (Module.hpp:25)
[2026-06-30 03:17:29.1066960][提示][CameraSystem] 将UI节点注册信息推送到了消息系统    (UIMixin.hpp:28)
[2026-06-30 03:17:29.1067040][成功][CameraSystem] 异步消息订阅：Global/Save    (MsgMixin.hpp:25)
[2026-06-30 03:17:29.1067180][成功][CameraSystem] 异步消息订阅：Global/Save/Strong    (MsgMixin.hpp:25)
[2026-06-30 03:17:29.1067230][成功][CameraSystem] 异步消息订阅：Command/SpecPlayer    (MsgMixin.hpp:25)
[2026-06-30 03:17:29.1067270][成功][CameraSystem] 异步消息订阅：Game/NewRound    (MsgMixin.hpp:25)
[2026-06-30 03:17:29.1067320][成功][CameraSystem] 异步消息订阅：CameraSystem/Play/Shutdown    (MsgMixin.hpp:25)
[2026-06-30 03:17:29.1067350][成功][CameraSystem] 初始化成功！    (Module.hpp:25)
[2026-06-30 03:17:29.1067820][提示][WorkspaceManager] 将UI节点注册信息推送到了消息系统    (UIMixin.hpp:28)
[2026-06-30 03:17:29.1067870][成功][WorkspaceManager] 异步消息订阅：CamereSystem/Workspace/Set    (MsgMixin.hpp:25)
[2026-06-30 03:17:29.1067920][成功][WorkspaceManager] 异步消息订阅：CameraSystem/Workspace/Save    (MsgMixin.hpp:25)
